 Simulation_Period = 19980101 -- 20090831                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
       Day                kSOM               kPOM1               kPOM2                kPOM                kMOM                kQOM                kDOM                kMBA             kMBA_in                kMBD             kMBD_in                 kMB              kMB_in                 phi     Active_Fraction                 CUE                 NUE                rNH4                fDOM       fNO3_Leaching        GPPscaler_VG             EA_POM1             EA_POM2              EA_MOM             EA_NFix              EA_Nit        EA_Denit_NO3        EA_Denit_NO2         EA_Denit_NO        EA_Denit_N2O               kNFix                kNit          kDenit_NO3          kDenit_NO2           kDenit_NO          kDenit_N2O              TM_err               TMbeg               TMend              TOTinp              TOTout                 STP                 SWC                 SWP                  pH                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
  19980111        0.509083E-04        0.766958E-05        0.329292E-03        0.294833E-03        0.173458E-05        0.207000E-05        0.259167E-03        0.213000E-02        0.557583E-02        0.114000E-03        0.361500E-12        0.946542E-04        0.138208E-03        0.998000E+00        0.443500E-01        0.315000E+00        0.554375E-01        0.635000E+00        0.100000E+01        0.163000E-03        0.609750E+00        0.168000E-03        0.822917E-03        0.453292E-03        0.258958E-07        0.673667E-04        0.734792E-07        0.163000E-06        0.199750E-06        0.715833E-07        0.272250E-07        0.113583E+00        0.758625E-04        0.241167E-03        0.304042E-03        0.102917E-03        0.274396E-16        0.161000E+01        0.161000E+01        0.458542E-06        0.314250E-05       -0.222000E+01        0.182000E+00       -0.217000E-01        0.565000E+01
  19980112        0.499625E-04        0.748708E-05        0.325875E-03        0.291167E-03        0.170000E-05        0.203333E-05        0.267583E-03        0.202000E-02        0.519042E-02        0.112000E-03        0.440000E-12        0.969708E-04        0.142208E-03        0.998000E+00        0.479500E-01        0.318000E+00        0.569625E-01        0.635000E+00        0.100000E+01        0.138000E-03        0.610000E+00        0.159542E-03        0.793667E-03        0.433083E-03        0.247042E-07        0.630458E-04        0.658833E-07        0.142000E-06        0.186875E-06        0.622542E-07        0.257375E-07        0.108958E+00        0.701958E-04        0.215625E-03        0.292333E-03        0.917000E-04       -0.159127E-16        0.161000E+01        0.161000E+01        0.507375E-06        0.322500E-05       -0.278000E+01        0.179000E+00       -0.228000E-01        0.565000E+01
  19980113        0.499708E-04        0.762417E-05        0.328000E-03        0.293083E-03        0.172000E-05        0.206000E-05        0.302208E-03        0.213000E-02        0.521167E-02        0.114000E-03        0.583750E-12        0.110167E-03        0.160958E-03        0.998000E+00        0.516375E-01        0.315125E+00        0.585542E-01        0.635000E+00        0.100000E+01        0.115000E-03        0.610167E+00        0.167000E-03        0.818208E-03        0.451083E-03        0.257292E-07        0.642917E-04        0.641375E-07        0.133000E-06        0.190167E-06        0.584750E-07        0.265250E-07        0.107958E+00        0.678500E-04        0.197167E-03        0.290000E-03        0.840833E-04        0.338446E-17        0.161000E+01        0.161000E+01        0.539458E-06        0.366625E-05       -0.222000E+01        0.176000E+00       -0.239000E-01        0.565000E+01
  19980114        0.490375E-04        0.744208E-05        0.324500E-03        0.289750E-03        0.169000E-05        0.202333E-05        0.307708E-03        0.202000E-02        0.487667E-02        0.112000E-03        0.631708E-12        0.111958E-03        0.164250E-03        0.998000E+00        0.553833E-01        0.318000E+00        0.602042E-01        0.635000E+00        0.100000E+01        0.108000E-03        0.610083E+00        0.158667E-03        0.789125E-03        0.430958E-03        0.245833E-07        0.609625E-04        0.598250E-07        0.123000E-06        0.180333E-06        0.538292E-07        0.251667E-07        0.104208E+00        0.652542E-04        0.186500E-03        0.282542E-03        0.795500E-04        0.218854E-16        0.161000E+01        0.161000E+01        0.514125E-06        0.373042E-05       -0.278000E+01        0.175000E+00       -0.243000E-01        0.565000E+01
  19980115        0.485833E-04        0.742042E-05        0.324000E-03        0.289000E-03        0.168042E-05        0.202000E-05        0.328333E-03        0.202000E-02        0.474708E-02        0.112000E-03        0.714167E-12        0.119542E-03        0.175333E-03        0.998000E+00        0.591417E-01        0.318500E+00        0.618667E-01        0.635000E+00        0.100000E+01        0.100000E-03        0.608792E+00        0.158000E-03        0.786917E-03        0.429917E-03        0.245000E-07        0.603542E-04        0.582333E-07        0.118000E-06        0.178667E-06        0.516500E-07        0.249417E-07        0.103000E+00        0.642083E-04        0.179000E-03        0.279750E-03        0.764292E-04        0.105125E-16        0.161000E+01        0.161000E+01        0.306292E-06        0.398833E-05       -0.278000E+01        0.174000E+00       -0.247000E-01        0.565000E+01
  19980116        0.494875E-04        0.788000E-05        0.332000E-03        0.296000E-03        0.175792E-05        0.211000E-05        0.401417E-03        0.237000E-02        0.519042E-02        0.118000E-03        0.154042E-11        0.149667E-03        0.216917E-03        0.998000E+00        0.631167E-01        0.310000E+00        0.637333E-01        0.635000E+00        0.100000E+01        0.353000E-04        0.608208E+00        0.182000E-03        0.866500E-03        0.487667E-03        0.277833E-07        0.636083E-04        0.499750E-07        0.822083E-07        0.187958E-06        0.357417E-07        0.280708E-07        0.100288E+00        0.524750E-04        0.115000E-03        0.271000E-03        0.490000E-04       -0.101925E-16        0.161000E+01        0.161000E+01        0.228292E-06        0.500125E-05       -0.111000E+01        0.164000E+00       -0.293000E-01        0.565000E+01
  19980117        0.490250E-04        0.785708E-05        0.331542E-03        0.295167E-03        0.175000E-05        0.210708E-05        0.421792E-03        0.237000E-02        0.507458E-02        0.118667E-03        0.102033E-11        0.159708E-03        0.231333E-03        0.998000E+00        0.673375E-01        0.310000E+00        0.658167E-01        0.635000E+00        0.100000E+01        0.861000E-04        0.608958E+00        0.181833E-03        0.864000E-03        0.486583E-03        0.277000E-07        0.672625E-04        0.626208E-07        0.123000E-06        0.199000E-06        0.538375E-07        0.279250E-07        0.106000E+00        0.663500E-04        0.172208E-03        0.287000E-03        0.738250E-04        0.200930E-16        0.161000E+01        0.161000E+01        0.336417E-06        0.534375E-05       -0.111000E+01        0.172000E+00       -0.255000E-01        0.565000E+01
  19980118        0.485750E-04        0.783333E-05        0.331000E-03        0.294417E-03        0.174542E-05        0.210000E-05        0.444500E-03        0.237000E-02        0.496958E-02        0.119000E-03        0.864250E-12        0.169792E-03        0.246125E-03        0.998000E+00        0.716333E-01        0.310000E+00        0.679583E-01        0.635000E+00        0.100000E+01        0.115000E-03        0.608458E+00        0.181000E-03        0.861625E-03        0.485542E-03        0.276083E-07        0.689833E-04        0.688083E-07        0.143000E-06        0.204000E-06        0.627458E-07        0.277958E-07        0.109000E+00        0.735667E-04        0.200333E-03        0.294708E-03        0.858708E-04        0.280875E-16        0.161000E+01        0.161000E+01        0.261000E-06        0.569500E-05       -0.111000E+01        0.176000E+00       -0.239000E-01        0.565000E+01
  19980119        0.481167E-04        0.781083E-05        0.330125E-03        0.293667E-03        0.174000E-05        0.209958E-05        0.469000E-03        0.237000E-02        0.487458E-02        0.119000E-03        0.866000E-12        0.180250E-03        0.261167E-03        0.998000E+00        0.760125E-01        0.310000E+00        0.701667E-01        0.635000E+00        0.100000E+01        0.123000E-03        0.607500E+00        0.180708E-03        0.859167E-03        0.484500E-03        0.275333E-07        0.692583E-04        0.701958E-07        0.147917E-06        0.205000E-06        0.648208E-07        0.276750E-07        0.110000E+00        0.757042E-04        0.207000E-03        0.295958E-03        0.884667E-04        0.961167E-17        0.161000E+01        0.161000E+01        0.105792E-06        0.605500E-05       -0.111000E+01        0.177000E+00       -0.235000E-01        0.565000E+01
  19980120        0.480958E-04        0.795000E-05        0.332500E-03        0.295333E-03        0.176000E-05        0.212417E-05        0.517792E-03        0.250000E-02        0.498208E-02        0.121000E-03        0.106500E-11        0.201250E-03        0.290417E-03        0.998000E+00        0.805375E-01        0.307000E+00        0.724708E-01        0.635000E+00        0.100000E+01        0.108000E-03        0.608292E+00        0.189000E-03        0.885042E-03        0.504208E-03        0.286292E-07        0.710125E-04        0.696833E-07        0.143000E-06        0.210000E-06        0.626958E-07        0.287292E-07        0.109875E+00        0.742458E-04        0.195000E-03        0.295250E-03        0.832250E-04        0.110379E-16        0.161000E+01        0.161000E+01        0.238708E-06        0.677333E-05       -0.560000E+00        0.175000E+00       -0.243000E-01        0.565000E+01
  19980121        0.476458E-04        0.792708E-05        0.332000E-03        0.294542E-03        0.175625E-05        0.212000E-05        0.543917E-03        0.250000E-02        0.490167E-02        0.121000E-03        0.465250E-12        0.213000E-03        0.307375E-03        0.998000E+00        0.852042E-01        0.307000E+00        0.749500E-01        0.635000E+00        0.100000E+01        0.255000E-03        0.608500E+00        0.188042E-03        0.882625E-03        0.503208E-03        0.285500E-07        0.792167E-04        0.974833E-07        0.232208E-06        0.235083E-06        0.102042E-06        0.286542E-07        0.123708E+00        0.104833E-03        0.316833E-03        0.330458E-03        0.135292E-03        0.859583E-18        0.161000E+01        0.161000E+01        0.273708E-06        0.718208E-05       -0.560000E+00        0.192000E+00       -0.187000E-01        0.565000E+01
  19980122        0.472042E-04        0.790292E-05        0.331083E-03        0.293750E-03        0.175000E-05        0.211792E-05        0.571625E-03        0.250000E-02        0.482583E-02        0.121000E-03        0.568750E-12        0.225000E-03        0.324542E-03        0.998000E+00        0.900000E-01        0.307917E+00        0.774833E-01        0.635000E+00        0.100000E+01        0.225000E-03        0.610042E+00        0.187875E-03        0.880167E-03        0.502208E-03        0.284708E-07        0.775042E-04        0.922667E-07        0.216000E-06        0.230000E-06        0.950458E-07        0.285583E-07        0.121667E+00        0.998792E-04        0.294250E-03        0.323125E-03        0.124708E-03       -0.190071E-16        0.161000E+01        0.161000E+01        0.508208E-06        0.760167E-05       -0.560000E+00        0.189000E+00       -0.195000E-01        0.565000E+01
  19980123        0.467667E-04        0.788042E-05        0.330667E-03        0.293000E-03        0.174542E-05        0.211000E-05        0.600458E-03        0.250000E-02        0.475750E-02        0.121000E-03        0.629917E-12        0.237000E-03        0.342083E-03        0.998000E+00        0.948333E-01        0.308000E+00        0.800792E-01        0.635000E+00        0.100000E+01        0.216000E-03        0.609167E+00        0.187000E-03        0.877833E-03        0.501250E-03        0.283917E-07        0.767875E-04        0.903625E-07        0.210000E-06        0.227958E-06        0.924333E-07        0.284542E-07        0.120042E+00        0.985667E-04        0.286125E-03        0.320042E-03        0.120750E-03        0.273125E-16        0.161000E+01        0.161000E+01        0.376833E-06        0.803125E-05       -0.560000E+00        0.188000E+00       -0.198000E-01        0.565000E+01
  19980124        0.463333E-04        0.785792E-05        0.330000E-03        0.292000E-03        0.174000E-05        0.211000E-05        0.630333E-03        0.250000E-02        0.469500E-02        0.121000E-03        0.630708E-12        0.249292E-03        0.360000E-03        0.998000E+00        0.998042E-01        0.308000E+00        0.827750E-01        0.635000E+00        0.100000E+01        0.225000E-03        0.607833E+00        0.186708E-03        0.875375E-03        0.500333E-03        0.283000E-07        0.770500E-04        0.917250E-07        0.214583E-06        0.228708E-06        0.944875E-07        0.283583E-07        0.120500E+00        0.101000E-03        0.292333E-03        0.321167E-03        0.122833E-03       -0.218542E-16        0.161000E+01        0.161000E+01        0.161125E-06        0.847250E-05       -0.560000E+00        0.189000E+00       -0.195000E-01        0.565000E+01
  19980125        0.459083E-04        0.783458E-05        0.329292E-03        0.291250E-03        0.173625E-05        0.210375E-05        0.660958E-03        0.250000E-02        0.463583E-02        0.121000E-03        0.771583E-12        0.261875E-03        0.378083E-03        0.998000E+00        0.104833E+00        0.308000E+00        0.855417E-01        0.635000E+00        0.100000E+01        0.198000E-03        0.608833E+00        0.186000E-03        0.873000E-03        0.499458E-03        0.282125E-07        0.753583E-04        0.865750E-07        0.198083E-06        0.223500E-06        0.872583E-07        0.282500E-07        0.117417E+00        0.956458E-04        0.270042E-03        0.313958E-03        0.113000E-03        0.210250E-17        0.161000E+01        0.161000E+01        0.325500E-06        0.892458E-05       -0.560000E+00        0.186000E+00       -0.204000E-01        0.565000E+01
  19980126        0.450917E-04        0.765250E-05        0.326000E-03        0.288000E-03        0.170375E-05        0.207000E-05        0.661042E-03        0.237000E-02        0.439500E-02        0.119000E-03        0.817625E-12        0.260500E-03        0.377625E-03        0.998000E+00        0.109875E+00        0.310000E+00        0.883167E-01        0.635000E+00        0.100000E+01        0.189000E-03        0.608125E+00        0.177000E-03        0.842917E-03        0.478042E-03        0.269917E-07        0.715833E-04        0.812083E-07        0.184625E-06        0.212125E-06        0.812083E-07        0.270083E-07        0.114000E+00        0.921250E-04        0.258000E-03        0.306208E-03        0.107458E-03       -0.336104E-16        0.161000E+01        0.161000E+01        0.209375E-06        0.890083E-05       -0.111000E+01        0.185000E+00       -0.208000E-01        0.565000E+01
  19980127        0.446833E-04        0.763042E-05        0.325292E-03        0.287167E-03        0.170000E-05        0.206750E-05        0.693333E-03        0.237000E-02        0.434792E-02        0.119000E-03        0.905500E-12        0.272500E-03        0.395125E-03        0.998000E+00        0.115000E+00        0.310708E+00        0.910917E-01        0.635000E+00        0.100000E+01        0.180000E-03        0.608667E+00        0.176375E-03        0.840667E-03        0.477292E-03        0.269000E-07        0.709042E-04        0.794208E-07        0.179000E-06        0.210042E-06        0.787708E-07        0.269083E-07        0.112500E+00        0.904875E-04        0.250167E-03        0.303250E-03        0.104000E-03        0.318667E-16        0.161000E+01        0.161000E+01        0.303500E-06        0.933875E-05       -0.111000E+01        0.184000E+00       -0.211000E-01        0.565000E+01
  19980128        0.442667E-04        0.760875E-05        0.324958E-03        0.286417E-03        0.169667E-05        0.206000E-05        0.725292E-03        0.237000E-02        0.430375E-02        0.119000E-03        0.667333E-12        0.284750E-03        0.412750E-03        0.998000E+00        0.120167E+00        0.311000E+00        0.939250E-01        0.635000E+00        0.100000E+01        0.245000E-03        0.608583E+00        0.176000E-03        0.838333E-03        0.476625E-03        0.268208E-07        0.739500E-04        0.900125E-07        0.213083E-06        0.219542E-06        0.939458E-07        0.268042E-07        0.117917E+00        0.103000E-03        0.297958E-03        0.316708E-03        0.123625E-03        0.520042E-17        0.161000E+01        0.161000E+01        0.274958E-06        0.978750E-05       -0.111000E+01        0.191000E+00       -0.190000E-01        0.565000E+01
  19980129        0.442500E-04        0.774333E-05        0.327000E-03        0.288000E-03        0.172000E-05        0.209000E-05        0.793125E-03        0.250000E-02        0.444750E-02        0.121000E-03        0.544875E-12        0.313417E-03        0.452542E-03        0.998000E+00        0.125458E+00        0.308000E+00        0.968583E-01        0.635000E+00        0.100000E+01        0.307000E-03        0.609292E+00        0.184000E-03        0.863708E-03        0.496167E-03        0.279000E-07        0.797917E-04        0.103000E-06        0.252708E-06        0.237000E-06        0.111250E-06        0.278708E-07        0.125000E+00        0.116000E-03        0.343875E-03        0.333000E-03        0.142292E-03        0.834167E-17        0.161000E+01        0.161000E+01        0.386500E-06        0.108083E-04       -0.560000E+00        0.197000E+00       -0.174000E-01        0.565000E+01
  19980130        0.438500E-04        0.772125E-05        0.326167E-03        0.287208E-03        0.171167E-05        0.209000E-05        0.824917E-03        0.250000E-02        0.440667E-02        0.121000E-03        0.656625E-12        0.327167E-03        0.472333E-03        0.998000E+00        0.130958E+00        0.308000E+00        0.999083E-01        0.635000E+00        0.100000E+01        0.275000E-03        0.609792E+00        0.183250E-03        0.861333E-03        0.495542E-03        0.278083E-07        0.781083E-04        0.981375E-07        0.236500E-06        0.232000E-06        0.104000E-06        0.277708E-07        0.122208E+00        0.111000E-03        0.321875E-03        0.325833E-03        0.132250E-03       -0.266854E-16        0.161000E+01        0.161000E+01        0.477750E-06        0.113208E-04       -0.560000E+00        0.194000E+00       -0.182000E-01        0.565000E+01
  19980131        0.434583E-04        0.769917E-05        0.325833E-03        0.286500E-03        0.171000E-05        0.208542E-05        0.858958E-03        0.250000E-02        0.436958E-02        0.121000E-03        0.468917E-12        0.341125E-03        0.492583E-03        0.998000E+00        0.136542E+00        0.308000E+00        0.103042E+00        0.635000E+00        0.100000E+01        0.363000E-03        0.608583E+00        0.183000E-03        0.859125E-03        0.495000E-03        0.277333E-07        0.808250E-04        0.110917E-06        0.276875E-06        0.243000E-06        0.122000E-06        0.276958E-07        0.126958E+00        0.125000E-03        0.376625E-03        0.341292E-03        0.153792E-03       -0.214083E-17        0.161000E+01        0.161000E+01        0.287625E-06        0.118458E-04       -0.560000E+00        0.202000E+00       -0.162000E-01        0.565000E+01
  19980201        0.430667E-04        0.767708E-05        0.325000E-03        0.285750E-03        0.170917E-05        0.208000E-05        0.894500E-03        0.250000E-02        0.433417E-02        0.121000E-03        0.389083E-12        0.355292E-03        0.513083E-03        0.998000E+00        0.142292E+00        0.308000E+00        0.106208E+00        0.635000E+00        0.100000E+01        0.425000E-03        0.607375E+00        0.182125E-03        0.856875E-03        0.494042E-03        0.276583E-07        0.805917E-04        0.118000E-06        0.301542E-06        0.249667E-06        0.133000E-06        0.276000E-07        0.126792E+00        0.134000E-03        0.410333E-03        0.350500E-03        0.166167E-03       -0.120833E-16        0.161000E+01        0.161000E+01        0.851667E-07        0.123792E-04       -0.560000E+00        0.207000E+00       -0.152000E-01        0.565000E+01
  19980202        0.426833E-04        0.765417E-05        0.324542E-03        0.285000E-03        0.170000E-05        0.208000E-05        0.931458E-03        0.250000E-02        0.430167E-02        0.121000E-03        0.445208E-12        0.369750E-03        0.533917E-03        0.998000E+00        0.148000E+00        0.308000E+00        0.109417E+00        0.635000E+00        0.100000E+01        0.400000E-03        0.607250E+00        0.182000E-03        0.854708E-03        0.493708E-03        0.275833E-07        0.803500E-04        0.115000E-06        0.290458E-06        0.246000E-06        0.128000E-06        0.275042E-07        0.126000E+00        0.131000E-03        0.395250E-03        0.345375E-03        0.158583E-03        0.522250E-17        0.161000E+01        0.161000E+01        0.707625E-07        0.129375E-04       -0.560000E+00        0.205000E+00       -0.156000E-01        0.565000E+01
  19980203        0.423042E-04        0.763208E-05        0.324000E-03        0.284042E-03        0.170000E-05        0.208000E-05        0.969417E-03        0.250000E-02        0.427000E-02        0.121000E-03        0.486625E-12        0.384375E-03        0.555125E-03        0.998000E+00        0.153917E+00        0.308000E+00        0.112667E+00        0.635000E+00        0.100000E+01        0.387000E-03        0.608083E+00        0.181042E-03        0.852375E-03        0.493000E-03        0.275000E-07        0.801167E-04        0.113000E-06        0.284542E-06        0.243917E-06        0.125708E-06        0.274125E-07        0.125667E+00        0.129000E-03        0.387125E-03        0.342292E-03        0.154250E-03       -0.271746E-16        0.161000E+01        0.161000E+01        0.214125E-06        0.135042E-04       -0.560000E+00        0.204000E+00       -0.158000E-01        0.565000E+01
