 Data_Period = 19980101 -- 20091231                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
       Day        SIN_mg/cm3/h              STP_oC                 SWC             SWP_MPa                  pH                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
  20041227        0.254167E-05        0.000000E+00        0.209000E+00       -0.147700E-01        0.545400E+01
  20041228        0.308333E-05        0.000000E+00        0.209000E+00       -0.147700E-01        0.545400E+01
  20041229        0.341667E-05        0.000000E+00        0.209000E+00       -0.147700E-01        0.545400E+01
  20041230        0.241667E-05        0.000000E+00        0.206000E+00       -0.153780E-01        0.545400E+01
  20041231        0.958333E-06        0.000000E+00        0.205000E+00       -0.155880E-01        0.545400E+01
  20050101        0.129167E-05        0.000000E+00        0.204000E+00       -0.158020E-01        0.564200E+01
  20050102        0.279167E-05        0.000000E+00        0.200000E+00       -0.166970E-01        0.564200E+01
  20050103        0.300000E-05        0.000000E+00        0.222000E+00       -0.124690E-01        0.564200E+01
  20050104        0.420833E-05        0.000000E+00        0.220000E+00       -0.127920E-01        0.564200E+01
  20050105        0.554167E-05        0.000000E+00        0.219000E+00       -0.129570E-01        0.564200E+01
  20050106        0.445833E-05        0.000000E+00        0.215000E+00       -0.136460E-01        0.564200E+01
  20050107        0.308333E-05        0.000000E+00        0.213000E+00       -0.140080E-01        0.564200E+01
  20050108        0.225000E-05        0.000000E+00        0.214000E+00       -0.138260E-01        0.564200E+01
  20050109        0.275000E-05        0.000000E+00        0.214000E+00       -0.138260E-01        0.564200E+01
  20050110        0.245833E-05        0.000000E+00        0.214000E+00       -0.138260E-01        0.564200E+01
  20050111        0.250000E-05        0.000000E+00        0.214000E+00       -0.138260E-01        0.564200E+01
  20050112        0.250000E-05        0.000000E+00        0.211000E+00       -0.143830E-01        0.564200E+01
  20050113        0.875000E-06        0.000000E+00        0.211000E+00       -0.143830E-01        0.564200E+01
  20050114        0.175000E-05       -0.560000E+00        0.211000E+00       -0.143830E-01        0.564200E+01
  20050115        0.183333E-05       -0.560000E+00        0.207000E+00       -0.151720E-01        0.564200E+01
  20050116        0.100000E-05       -0.111000E+01        0.211000E+00       -0.143830E-01        0.564200E+01
  20050117        0.500000E-06       -0.111000E+01        0.239000E+00       -0.100830E-01        0.564200E+01
  20050118        0.458333E-06       -0.111000E+01        0.238000E+00       -0.102080E-01        0.564200E+01
  20050119        0.500000E-06       -0.111000E+01        0.248000E+00       -0.903300E-02        0.564200E+01
  20050120        0.958333E-06       -0.111000E+01        0.243000E+00       -0.960100E-02        0.564200E+01
  20050121        0.120833E-05       -0.111000E+01        0.236000E+00       -0.104630E-01        0.564200E+01
  20050122        0.583333E-06       -0.111000E+01        0.239000E+00       -0.100830E-01        0.564200E+01
  20050123        0.125000E-05       -0.111000E+01        0.240000E+00       -0.996000E-02        0.564200E+01
  20050124        0.125000E-05       -0.111000E+01        0.235000E+00       -0.105930E-01        0.564200E+01
  20050125        0.208333E-05       -0.560000E+00        0.235000E+00       -0.105930E-01        0.564200E+01
  20050126        0.375000E-05       -0.560000E+00        0.235000E+00       -0.105930E-01        0.564200E+01
  20050127        0.450000E-05       -0.111000E+01        0.235000E+00       -0.105930E-01        0.564200E+01
  20050128        0.375000E-06       -0.111000E+01        0.229000E+00       -0.114140E-01        0.564200E+01
  20050129        0.333333E-06       -0.560000E+00        0.233000E+00       -0.108590E-01        0.564200E+01
  20050130        0.104167E-05       -0.560000E+00        0.229000E+00       -0.114140E-01        0.564200E+01
  20050131        0.245833E-05       -0.560000E+00        0.231000E+00       -0.111320E-01        0.564200E+01
  20050201        0.220833E-05        0.000000E+00        0.268000E+00       -0.707500E-02        0.564200E+01
  20050202        0.254167E-05        0.000000E+00        0.249000E+00       -0.892300E-02        0.564200E+01
  20050203        0.341667E-05        0.000000E+00        0.241000E+00       -0.983900E-02        0.564200E+01
  20050204        0.220833E-05        0.000000E+00        0.239000E+00       -0.100830E-01        0.564200E+01
  20050205        0.229167E-05        0.000000E+00        0.237000E+00       -0.103350E-01        0.564200E+01
  20050206        0.300000E-05        0.000000E+00        0.235000E+00       -0.105930E-01        0.564200E+01
  20050207        0.304167E-05       -0.560000E+00        0.231000E+00       -0.111320E-01        0.564200E+01
  20050208        0.791667E-06       -0.167000E+01        0.225000E+00       -0.120030E-01        0.564200E+01
  20050209        0.416667E-06       -0.167000E+01        0.215000E+00       -0.136460E-01        0.564200E+01
  20050210        0.100000E-05       -0.222000E+01        0.204000E+00       -0.158020E-01        0.564200E+01
  20050211        0.187500E-05       -0.167000E+01        0.132000E+00       -0.575810E-01        0.564200E+01
  20050212        0.116667E-05       -0.111000E+01        0.114000E+00       -0.985880E-01        0.564200E+01
  20050213        0.100000E-05       -0.560000E+00        0.119000E+00       -0.834140E-01        0.564200E+01
  20050214        0.100000E-05       -0.560000E+00        0.112000E+00       -0.105925E+00        0.564200E+01
  20050215        0.454167E-05       -0.560000E+00        0.119000E+00       -0.834140E-01        0.564200E+01
  20050216        0.358333E-05       -0.111000E+01        0.127000E+00       -0.657900E-01        0.564200E+01
  20050217        0.116667E-05       -0.222000E+01        0.137000E+00       -0.508740E-01        0.564200E+01
  20050218        0.958333E-06       -0.278000E+01        0.143000E+00       -0.443140E-01        0.564200E+01
  20050219        0.708333E-06       -0.278000E+01        0.146000E+00       -0.415150E-01        0.564200E+01
  20050220        0.183333E-05       -0.278000E+01        0.129000E+00       -0.622980E-01        0.564200E+01
  20050221        0.300000E-05       -0.278000E+01        0.117000E+00       -0.890060E-01        0.564200E+01
  20050222        0.441667E-05       -0.222000E+01        0.110000E+00       -0.114173E+00        0.564200E+01
  20050223        0.566667E-05       -0.222000E+01        0.112000E+00       -0.105925E+00        0.564200E+01
  20050224        0.412500E-05       -0.222000E+01        0.113000E+00       -0.102151E+00        0.564200E+01
  20050225        0.370833E-05       -0.222000E+01        0.114000E+00       -0.985880E-01        0.564200E+01
  20050226        0.445833E-05       -0.222000E+01        0.126000E+00       -0.676540E-01        0.564200E+01
  20050227        0.525000E-05       -0.167000E+01        0.137000E+00       -0.508740E-01        0.564200E+01
  20050228        0.366667E-05       -0.167000E+01        0.143000E+00       -0.443140E-01        0.564200E+01
  20050301        0.483333E-05       -0.222000E+01        0.149000E+00       -0.389800E-01        0.564200E+01
  20050302        0.529167E-05       -0.222000E+01        0.162000E+00       -0.303280E-01        0.564200E+01
  20050303        0.225000E-05       -0.222000E+01        0.176000E+00       -0.238840E-01        0.564200E+01
  20050304        0.450000E-05       -0.167000E+01        0.188000E+00       -0.198380E-01        0.564200E+01
  20050305        0.387500E-05       -0.111000E+01        0.208000E+00       -0.149690E-01        0.564200E+01
  20050306        0.212500E-05       -0.560000E+00        0.239000E+00       -0.100830E-01        0.564200E+01
  20050307        0.270833E-05       -0.560000E+00        0.241000E+00       -0.983900E-02        0.564200E+01
  20050308        0.400000E-05       -0.167000E+01        0.244000E+00       -0.948400E-02        0.564200E+01
  20050309        0.554167E-05       -0.278000E+01        0.243000E+00       -0.960100E-02        0.564200E+01
  20050310        0.103333E-04       -0.167000E+01        0.244000E+00       -0.948400E-02        0.564200E+01
  20050311        0.155000E-04       -0.167000E+01        0.244000E+00       -0.948400E-02        0.564200E+01
  20050312        0.139583E-04       -0.222000E+01        0.244000E+00       -0.948400E-02        0.564200E+01
  20050313        0.197500E-04       -0.333000E+01        0.239000E+00       -0.100830E-01        0.564200E+01
  20050314        0.136667E-04       -0.333000E+01        0.240000E+00       -0.996000E-02        0.564200E+01
  20050315        0.115000E-04       -0.333000E+01        0.239000E+00       -0.100830E-01        0.564200E+01
  20050316        0.141667E-04       -0.278000E+01        0.228000E+00       -0.115580E-01        0.564200E+01
  20050317        0.168750E-04       -0.222000E+01        0.223000E+00       -0.123110E-01        0.564200E+01
  20050318        0.208333E-04       -0.222000E+01        0.225000E+00       -0.120030E-01        0.564200E+01
  20050319        0.196250E-04       -0.222000E+01        0.227000E+00       -0.117040E-01        0.564200E+01
  20050320        0.152083E-04       -0.167000E+01        0.221000E+00       -0.126290E-01        0.564200E+01
  20050321        0.184583E-04       -0.167000E+01        0.225000E+00       -0.120030E-01        0.564200E+01
  20050322        0.194583E-04       -0.111000E+01        0.225000E+00       -0.120030E-01        0.564200E+01
  20050323        0.166667E-04       -0.560000E+00        0.221000E+00       -0.126290E-01        0.564200E+01
  20050324        0.186250E-04       -0.560000E+00        0.221000E+00       -0.126290E-01        0.564200E+01
  20050325        0.233333E-04       -0.560000E+00        0.220000E+00       -0.127920E-01        0.564200E+01
  20050326        0.196250E-04       -0.560000E+00        0.219000E+00       -0.129570E-01        0.564200E+01
  20050327        0.190000E-04       -0.560000E+00        0.212000E+00       -0.141940E-01        0.564200E+01
  20050328        0.251250E-04        0.000000E+00        0.190000E+00       -0.192600E-01        0.564200E+01
  20050329        0.329167E-04        0.000000E+00        0.117000E+00       -0.890060E-01        0.564200E+01
  20050330        0.347500E-04        0.000000E+00        0.131000E+00       -0.590890E-01        0.564200E+01
  20050331        0.251250E-04        0.000000E+00        0.133000E+00       -0.561320E-01        0.564200E+01
  20050401        0.313750E-04        0.000000E+00        0.131000E+00       -0.590890E-01        0.564200E+01
  20050402        0.393333E-04        0.000000E+00        0.161000E+00       -0.308840E-01        0.564200E+01
  20050403        0.492500E-04        0.000000E+00        0.185000E+00       -0.207510E-01        0.564200E+01
  20050404        0.547083E-04        0.000000E+00        0.215000E+00       -0.136460E-01        0.564200E+01
  20050405        0.368333E-04        0.000000E+00        0.246000E+00       -0.925600E-02        0.564200E+01
  20050406        0.280417E-04        0.000000E+00        0.249000E+00       -0.892300E-02        0.564200E+01
  20050407        0.357917E-04        0.000000E+00        0.246000E+00       -0.925600E-02        0.564200E+01
  20050408        0.400000E-04        0.000000E+00        0.243000E+00       -0.960100E-02        0.564200E+01
  20050409        0.487917E-04        0.560000E+00        0.243000E+00       -0.960100E-02        0.564200E+01
  20050410        0.408333E-04        0.167000E+01        0.220000E+00       -0.127920E-01        0.564200E+01
  20050411        0.342500E-04        0.278000E+01        0.143000E+00       -0.443140E-01        0.564200E+01
  20050412        0.380417E-04        0.333000E+01        0.116000E+00       -0.920290E-01        0.564200E+01
  20050413        0.477917E-04        0.333000E+01        0.114000E+00       -0.985880E-01        0.564200E+01
  20050414        0.742083E-04        0.389000E+01        0.109000E+00       -0.118689E+00        0.564200E+01
  20050415        0.112125E-03        0.444000E+01        0.102000E+00       -0.160243E+00        0.564200E+01
  20050416        0.913750E-04        0.556000E+01        0.102000E+00       -0.160243E+00        0.564200E+01
  20050417        0.897917E-04        0.611000E+01        0.103000E+00       -0.152986E+00        0.564200E+01
  20050418        0.100917E-03        0.722000E+01        0.980000E-01       -0.195629E+00        0.564200E+01
  20050419        0.108583E-03        0.833000E+01        0.950000E-01       -0.231234E+00        0.564200E+01
  20050420        0.106583E-03        0.778000E+01        0.990000E-01       -0.185682E+00        0.564200E+01
  20050421        0.107458E-03        0.722000E+01        0.900000E-01       -0.319378E+00        0.564200E+01
  20050422        0.109375E-03        0.722000E+01        0.880000E-01       -0.370798E+00        0.564200E+01
  20050423        0.109500E-03        0.611000E+01        0.810000E-01       -0.721052E+00        0.564200E+01
  20050424        0.113667E-03        0.556000E+01        0.810000E-01       -0.721052E+00        0.564200E+01
  20050425        0.625417E-04        0.556000E+01        0.780000E-01       -0.107078E+01        0.564200E+01
  20050426        0.455417E-04        0.556000E+01        0.810000E-01       -0.721052E+00        0.564200E+01
  20050427        0.594167E-04        0.500000E+01        0.760000E-01       -0.148795E+01        0.564200E+01
  20050428        0.670833E-04        0.500000E+01        0.820000E-01       -0.643918E+00        0.564200E+01
  20050429        0.973333E-04        0.444000E+01        0.820000E-01       -0.643918E+00        0.564200E+01
  20050430        0.125333E-03        0.444000E+01        0.790000E-01       -0.928415E+00        0.564200E+01
  20050501        0.144667E-03        0.444000E+01        0.750000E-01       -0.180489E+01        0.564200E+01
  20050502        0.103625E-03        0.389000E+01        0.770000E-01       -0.125190E+01        0.564200E+01
  20050503        0.119208E-03        0.389000E+01        0.790000E-01       -0.928415E+00        0.564200E+01
  20050504        0.143083E-03        0.444000E+01        0.770000E-01       -0.125190E+01        0.564200E+01
  20050505        0.130167E-03        0.611000E+01        0.830000E-01       -0.579247E+00        0.564200E+01
  20050506        0.193583E-03        0.667000E+01        0.900000E-01       -0.319378E+00        0.564200E+01
  20050507        0.162792E-03        0.778000E+01        0.860000E-01       -0.436966E+00        0.564200E+01
  20050508        0.154917E-03        0.889000E+01        0.890000E-01       -0.343547E+00        0.564200E+01
  20050509        0.182750E-03        0.100000E+02        0.920000E-01       -0.278527E+00        0.564200E+01
  20050510        0.114583E-03        0.100000E+02        0.920000E-01       -0.278527E+00        0.564200E+01
  20050511        0.170125E-03        0.889000E+01        0.900000E-01       -0.319378E+00        0.564200E+01
  20050512        0.139458E-03        0.778000E+01        0.940000E-01       -0.245466E+00        0.564200E+01
  20050513        0.136625E-03        0.722000E+01        0.104000E+00       -0.146242E+00        0.564200E+01
  20050514        0.212333E-03        0.722000E+01        0.990000E-01       -0.185682E+00        0.564200E+01
  20050515        0.233667E-03        0.667000E+01        0.104000E+00       -0.146242E+00        0.564200E+01
  20050516        0.310000E-03        0.722000E+01        0.106000E+00       -0.134102E+00        0.564200E+01
  20050517        0.258750E-03        0.833000E+01        0.107000E+00       -0.128625E+00        0.564200E+01
  20050518        0.223083E-03        0.944000E+01        0.930000E-01       -0.261158E+00        0.564200E+01
  20050519        0.186500E-03        0.100000E+02        0.900000E-01       -0.319378E+00        0.564200E+01
  20050520        0.219542E-03        0.111100E+02        0.930000E-01       -0.261158E+00        0.564200E+01
  20050521        0.243583E-03        0.116700E+02        0.870000E-01       -0.401701E+00        0.564200E+01
  20050522        0.276250E-03        0.116700E+02        0.900000E-01       -0.319378E+00        0.564200E+01
  20050523        0.271208E-03        0.116700E+02        0.930000E-01       -0.261158E+00        0.564200E+01
  20050524        0.324833E-03        0.116700E+02        0.890000E-01       -0.343547E+00        0.564200E+01
  20050525        0.423458E-03        0.116700E+02        0.910000E-01       -0.297831E+00        0.564200E+01
  20050526        0.239917E-03        0.105600E+02        0.930000E-01       -0.261158E+00        0.564200E+01
  20050527        0.251333E-03        0.105600E+02        0.100000E+00       -0.176523E+00        0.564200E+01
  20050528        0.327375E-03        0.100000E+02        0.970000E-01       -0.206458E+00        0.564200E+01
  20050529        0.273042E-03        0.105600E+02        0.101000E+00       -0.168068E+00        0.564200E+01
  20050530        0.294250E-03        0.111100E+02        0.106000E+00       -0.134102E+00        0.564200E+01
  20050531        0.376500E-03        0.122200E+02        0.110000E+00       -0.114173E+00        0.564200E+01
  20050601        0.441417E-03        0.127800E+02        0.112000E+00       -0.105925E+00        0.564200E+01
  20050602        0.299667E-03        0.127800E+02        0.111000E+00       -0.109926E+00        0.564200E+01
  20050603        0.240500E-03        0.127800E+02        0.119000E+00       -0.834140E-01        0.564200E+01
  20050604        0.294917E-03        0.133300E+02        0.132000E+00       -0.575810E-01        0.564200E+01
  20050605        0.277542E-03        0.133300E+02        0.149000E+00       -0.389800E-01        0.564200E+01
  20050606        0.352167E-03        0.133300E+02        0.204000E+00       -0.158020E-01        0.564200E+01
  20050607        0.438167E-03        0.133300E+02        0.277000E+00       -0.632500E-02        0.564200E+01
  20050608        0.364792E-03        0.138900E+02        0.326000E+00       -0.308300E-02        0.564200E+01
  20050609        0.419917E-03        0.138900E+02        0.322000E+00       -0.331500E-02        0.564200E+01
  20050610        0.363792E-03        0.144400E+02        0.338000E+00       -0.239900E-02        0.564200E+01
  20050611        0.195875E-03        0.144400E+02        0.321000E+00       -0.337300E-02        0.564200E+01
  20050612        0.447250E-03        0.144400E+02        0.311000E+00       -0.397100E-02        0.564200E+01
  20050613        0.376583E-03        0.144400E+02        0.307000E+00       -0.421900E-02        0.564200E+01
  20050614        0.453167E-03        0.144400E+02        0.300000E+00       -0.466800E-02        0.564200E+01
  20050615        0.371042E-03        0.144400E+02        0.295000E+00       -0.500200E-02        0.564200E+01
  20050616        0.421000E-03        0.144400E+02        0.279000E+00       -0.616800E-02        0.564200E+01
  20050617        0.515833E-03        0.150000E+02        0.267000E+00       -0.716300E-02        0.564200E+01
  20050618        0.507500E-03        0.155600E+02        0.261000E+00       -0.771000E-02        0.564200E+01
  20050619        0.545333E-03        0.161100E+02        0.254000E+00       -0.839600E-02        0.564200E+01
  20050620        0.539083E-03        0.166700E+02        0.251000E+00       -0.870900E-02        0.564200E+01
  20050621        0.501625E-03        0.166700E+02        0.246000E+00       -0.925600E-02        0.564200E+01
  20050622        0.517667E-03        0.166700E+02        0.244000E+00       -0.948400E-02        0.564200E+01
  20050623        0.500792E-03        0.177800E+02        0.241000E+00       -0.983900E-02        0.564200E+01
  20050624        0.544792E-03        0.177800E+02        0.241000E+00       -0.983900E-02        0.564200E+01
  20050625        0.592417E-03        0.166700E+02        0.242000E+00       -0.971900E-02        0.564200E+01
  20050626        0.533750E-03        0.166700E+02        0.241000E+00       -0.983900E-02        0.564200E+01
  20050627        0.528375E-03        0.166700E+02        0.238000E+00       -0.102080E-01        0.564200E+01
  20050628        0.389292E-03        0.166700E+02        0.238000E+00       -0.102080E-01        0.564200E+01
  20050629        0.567833E-03        0.166700E+02        0.230000E+00       -0.112720E-01        0.564200E+01
  20050630        0.559458E-03        0.161100E+02        0.231000E+00       -0.111320E-01        0.564200E+01
  20050701        0.506375E-03        0.155600E+02        0.227000E+00       -0.117040E-01        0.564200E+01
  20050702        0.483083E-03        0.161100E+02        0.251000E+00       -0.870900E-02        0.564200E+01
  20050703        0.488417E-03        0.166700E+02        0.278000E+00       -0.624600E-02        0.564200E+01
  20050704        0.545792E-03        0.166700E+02        0.272000E+00       -0.673400E-02        0.564200E+01
  20050705        0.516375E-03        0.161100E+02        0.267000E+00       -0.716300E-02        0.564200E+01
  20050706        0.565000E-03        0.161100E+02        0.255000E+00       -0.829500E-02        0.564200E+01
  20050707        0.483250E-03        0.166700E+02        0.246000E+00       -0.925600E-02        0.564200E+01
  20050708        0.477375E-03        0.172200E+02        0.242000E+00       -0.971900E-02        0.564200E+01
  20050709        0.524000E-03        0.183300E+02        0.239000E+00       -0.100830E-01        0.564200E+01
  20050710        0.507417E-03        0.188900E+02        0.235000E+00       -0.105930E-01        0.564200E+01
  20050711        0.553333E-03        0.194400E+02        0.230000E+00       -0.112720E-01        0.564200E+01
  20050712        0.449333E-03        0.188900E+02        0.226000E+00       -0.118520E-01        0.564200E+01
  20050713        0.539250E-03        0.188900E+02        0.223000E+00       -0.123110E-01        0.564200E+01
  20050714        0.518500E-03        0.188900E+02        0.225000E+00       -0.120030E-01        0.564200E+01
  20050715        0.523958E-03        0.194400E+02        0.222000E+00       -0.124690E-01        0.564200E+01
  20050716        0.425417E-03        0.188900E+02        0.227000E+00       -0.117040E-01        0.564200E+01
  20050717        0.537417E-03        0.194400E+02        0.234000E+00       -0.107250E-01        0.564200E+01
  20050718        0.557708E-03        0.183300E+02        0.231000E+00       -0.111320E-01        0.564200E+01
  20050719        0.400625E-03        0.177800E+02        0.230000E+00       -0.112720E-01        0.564200E+01
  20050720        0.561417E-03        0.183300E+02        0.230000E+00       -0.112720E-01        0.564200E+01
  20050721        0.571583E-03        0.177800E+02        0.222000E+00       -0.124690E-01        0.564200E+01
  20050722        0.561083E-03        0.177800E+02        0.224000E+00       -0.121560E-01        0.564200E+01
  20050723        0.467292E-03        0.177800E+02        0.215000E+00       -0.136460E-01        0.564200E+01
  20050724        0.523500E-03        0.183300E+02        0.218000E+00       -0.131250E-01        0.564200E+01
  20050725        0.535833E-03        0.183300E+02        0.209000E+00       -0.147700E-01        0.564200E+01
  20050726        0.485792E-03        0.166700E+02        0.203000E+00       -0.160190E-01        0.564200E+01
  20050727        0.462042E-03        0.161100E+02        0.188000E+00       -0.198380E-01        0.564200E+01
  20050728        0.485792E-03        0.161100E+02        0.178000E+00       -0.231310E-01        0.564200E+01
  20050729        0.565000E-03        0.161100E+02        0.172000E+00       -0.255000E-01        0.564200E+01
  20050730        0.546875E-03        0.166700E+02        0.160000E+00       -0.314560E-01        0.564200E+01
  20050731        0.520708E-03        0.177800E+02        0.139000E+00       -0.485280E-01        0.564200E+01
  20050801        0.494417E-03        0.183300E+02        0.111000E+00       -0.109926E+00        0.564200E+01
  20050802        0.443500E-03        0.183300E+02        0.104000E+00       -0.146242E+00        0.564200E+01
  20050803        0.470250E-03        0.188900E+02        0.103000E+00       -0.152986E+00        0.564200E+01
  20050804        0.468750E-03        0.183300E+02        0.104000E+00       -0.146242E+00        0.564200E+01
  20050805        0.498833E-03        0.172200E+02        0.980000E-01       -0.195629E+00        0.564200E+01
  20050806        0.472750E-03        0.177800E+02        0.940000E-01       -0.245466E+00        0.564200E+01
  20050807        0.501292E-03        0.183300E+02        0.850000E-01       -0.477491E+00        0.564200E+01
  20050808        0.460458E-03        0.188900E+02        0.850000E-01       -0.477491E+00        0.564200E+01
  20050809        0.480917E-03        0.188900E+02        0.870000E-01       -0.401701E+00        0.564200E+01
  20050810        0.469583E-03        0.177800E+02        0.820000E-01       -0.643918E+00        0.564200E+01
  20050811        0.421250E-03        0.166700E+02        0.790000E-01       -0.928415E+00        0.564200E+01
  20050812        0.461875E-03        0.161100E+02        0.720000E-01       -0.390021E+01        0.564200E+01
  20050813        0.478833E-03        0.155600E+02        0.720000E-01       -0.390021E+01        0.564200E+01
  20050814        0.479708E-03        0.155600E+02        0.720000E-01       -0.390021E+01        0.564200E+01
  20050815        0.459667E-03        0.155600E+02        0.750000E-01       -0.180489E+01        0.564200E+01
  20050816        0.452583E-03        0.161100E+02        0.710000E-01       -0.562288E+01        0.564200E+01
  20050817        0.433250E-03        0.161100E+02        0.750000E-01       -0.180489E+01        0.564200E+01
  20050818        0.450125E-03        0.166700E+02        0.730000E-01       -0.289254E+01        0.564200E+01
  20050819        0.432667E-03        0.166700E+02        0.680000E-01       -0.545689E+02        0.564200E+01
  20050820        0.419875E-03        0.161100E+02        0.105000E+00       -0.139962E+00        0.564200E+01
  20050821        0.424250E-03        0.155600E+02        0.132000E+00       -0.575810E-01        0.564200E+01
  20050822        0.291333E-03        0.150000E+02        0.137000E+00       -0.508740E-01        0.564200E+01
  20050823        0.376583E-03        0.155600E+02        0.118000E+00       -0.861380E-01        0.564200E+01
  20050824        0.406500E-03        0.155600E+02        0.106000E+00       -0.134102E+00        0.564200E+01
  20050825        0.415417E-03        0.161100E+02        0.910000E-01       -0.297831E+00        0.564200E+01
  20050826        0.433333E-03        0.161100E+02        0.780000E-01       -0.107078E+01        0.564200E+01
  20050827        0.404042E-03        0.161100E+02        0.750000E-01       -0.180489E+01        0.564200E+01
  20050828        0.396167E-03        0.161100E+02        0.710000E-01       -0.562288E+01        0.564200E+01
  20050829        0.385208E-03        0.155600E+02        0.730000E-01       -0.289254E+01        0.564200E+01
  20050830        0.363208E-03        0.155600E+02        0.730000E-01       -0.289254E+01        0.564200E+01
  20050831        0.400667E-03        0.161100E+02        0.730000E-01       -0.289254E+01        0.564200E+01
  20050901        0.378250E-03        0.150000E+02        0.700000E-01       -0.901111E+01        0.564200E+01
  20050902        0.303250E-03        0.144400E+02        0.680000E-01       -0.545689E+02        0.564200E+01
  20050903        0.346958E-03        0.144400E+02        0.670000E-01       -0.105213E+03        0.564200E+01
  20050904        0.312917E-03        0.150000E+02        0.660000E-01       -0.105213E+03        0.564200E+01
  20050905        0.264917E-03        0.166700E+02        0.620000E-01       -0.105213E+03        0.564200E+01
  20050906        0.325458E-03        0.166700E+02        0.590000E-01       -0.105213E+03        0.564200E+01
  20050907        0.274167E-03        0.155600E+02        0.600000E-01       -0.105213E+03        0.564200E+01
  20050908        0.264667E-03        0.155600E+02        0.560000E-01       -0.105213E+03        0.564200E+01
  20050909        0.303792E-03        0.155600E+02        0.550000E-01       -0.105213E+03        0.564200E+01
  20050910        0.248583E-03        0.166700E+02        0.530000E-01       -0.105213E+03        0.564200E+01
  20050911        0.304583E-03        0.172200E+02        0.540000E-01       -0.105213E+03        0.564200E+01
  20050912        0.370000E-03        0.172200E+02        0.520000E-01       -0.105213E+03        0.564200E+01
  20050913        0.163417E-03        0.161100E+02        0.520000E-01       -0.105213E+03        0.564200E+01
  20050914        0.217583E-03        0.150000E+02        0.520000E-01       -0.105213E+03        0.564200E+01
  20050915        0.266708E-03        0.150000E+02        0.490000E-01       -0.105213E+03        0.564200E+01
  20050916        0.330542E-03        0.150000E+02        0.520000E-01       -0.105213E+03        0.564200E+01
  20050917        0.322792E-03        0.155600E+02        0.570000E-01       -0.105213E+03        0.564200E+01
  20050918        0.332250E-03        0.155600E+02        0.550000E-01       -0.105213E+03        0.564200E+01
  20050919        0.326958E-03        0.155600E+02        0.560000E-01       -0.105213E+03        0.564200E+01
  20050920        0.274625E-03        0.150000E+02        0.570000E-01       -0.105213E+03        0.564200E+01
  20050921        0.293333E-03        0.150000E+02        0.560000E-01       -0.105213E+03        0.564200E+01
  20050922        0.290250E-03        0.144400E+02        0.540000E-01       -0.105213E+03        0.564200E+01
  20050923        0.219917E-03        0.133300E+02        0.560000E-01       -0.105213E+03        0.564200E+01
  20050924        0.241333E-03        0.133300E+02        0.560000E-01       -0.105213E+03        0.564200E+01
  20050925        0.295500E-03        0.127800E+02        0.590000E-01       -0.105213E+03        0.564200E+01
  20050926        0.237917E-03        0.122200E+02        0.560000E-01       -0.105213E+03        0.564200E+01
  20050927        0.246375E-03        0.127800E+02        0.540000E-01       -0.105213E+03        0.564200E+01
  20050928        0.219833E-03        0.127800E+02        0.570000E-01       -0.105213E+03        0.564200E+01
  20050929        0.141458E-03        0.116700E+02        0.570000E-01       -0.105213E+03        0.564200E+01
  20050930        0.167875E-03        0.116700E+02        0.600000E-01       -0.105213E+03        0.564200E+01
  20051001        0.168875E-03        0.127800E+02        0.550000E-01       -0.105213E+03        0.564200E+01
  20051002        0.203083E-03        0.138900E+02        0.540000E-01       -0.105213E+03        0.564200E+01
  20051003        0.159833E-03        0.138900E+02        0.550000E-01       -0.105213E+03        0.564200E+01
  20051004        0.175625E-03        0.127800E+02        0.770000E-01       -0.125190E+01        0.564200E+01
  20051005        0.138292E-03        0.116700E+02        0.125000E+00       -0.696020E-01        0.564200E+01
  20051006        0.137875E-03        0.105600E+02        0.132000E+00       -0.575810E-01        0.564200E+01
  20051007        0.135625E-03        0.944000E+01        0.120000E+00       -0.808240E-01        0.564200E+01
  20051008        0.165000E-03        0.889000E+01        0.109000E+00       -0.118689E+00        0.564200E+01
  20051009        0.126917E-03        0.944000E+01        0.990000E-01       -0.185682E+00        0.564200E+01
  20051010        0.639583E-04        0.944000E+01        0.940000E-01       -0.245466E+00        0.564200E+01
  20051011        0.865417E-04        0.944000E+01        0.890000E-01       -0.343547E+00        0.564200E+01
  20051012        0.121500E-03        0.100000E+02        0.810000E-01       -0.721052E+00        0.564200E+01
  20051013        0.103167E-03        0.105600E+02        0.800000E-01       -0.814221E+00        0.564200E+01
  20051014        0.117250E-03        0.105600E+02        0.760000E-01       -0.148795E+01        0.564200E+01
  20051015        0.906250E-04        0.100000E+02        0.770000E-01       -0.125190E+01        0.564200E+01
