 Simulation_Period = 19980101 -- 20090831                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
       Mon                kSOM               kPOM1               kPOM2                kPOM                kMOM                kQOM                kDOM                kMBA             kMBA_in                kMBD             kMBD_in                 kMB              kMB_in                 phi     Active_Fraction                 CUE                 NUE                rNH4                fDOM       fNO3_Leaching        GPPscaler_VG             EA_POM1             EA_POM2              EA_MOM             EA_NFix              EA_Nit        EA_Denit_NO3        EA_Denit_NO2         EA_Denit_NO        EA_Denit_N2O               kNFix                kNit          kDenit_NO3          kDenit_NO2           kDenit_NO          kDenit_N2O              TM_err               TMbeg               TMend              TOTinp              TOTout                 STP                 SWC                 SWP                  pH                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
    199811        0.271728E-04        0.598650E-05        0.366217E-03        0.204815E-03        0.920117E-05        0.923696E-05        0.133089E+01        0.180539E-02        0.255304E-02        0.617999E-04        0.204145E-08        0.996802E-03        0.107028E-02        0.430965E+00        0.557044E+00        0.454910E-01        0.105628E-05        0.636000E+00        0.100000E+01        0.324920E-03        0.699221E+00        0.184219E-03        0.114990E-02        0.282908E-02        0.467924E-07        0.510561E-04        0.809549E-07        0.160997E-06        0.150801E-06        0.735432E-07        0.464399E-07        0.552411E-01        0.721164E-04        0.168876E-03        0.163597E-03        0.685956E-04        0.228640E-18        0.125086E+01        0.125083E+01        0.118842E-04        0.369435E-04        0.468467E+01        0.197133E+00       -0.178400E-01        0.565000E+01
    199812        0.212853E-04        0.504425E-05        0.332914E-03        0.166905E-03        0.818769E-05        0.822054E-05        0.135735E+01        0.117728E-02        0.170663E-02        0.494640E-04        0.141109E-07        0.686679E-03        0.717337E-03        0.382699E+00        0.584641E+00        0.463914E-01        0.396319E-05        0.636000E+00        0.100000E+01        0.180276E-03        0.628055E+00        0.133329E-03        0.896571E-03        0.216297E-02        0.341181E-07        0.331860E-04        0.432714E-07        0.792026E-07        0.972622E-07        0.358920E-07        0.333909E-07        0.403398E-01        0.428965E-04        0.914097E-04        0.121265E-03        0.382408E-04       -0.225933E-18        0.123296E+01        0.123293E+01        0.323327E-05        0.260824E-04        0.141548E+01        0.176935E+00       -0.266645E-01        0.565000E+01
    199901        0.167949E-04        0.523929E-05        0.289774E-03        0.130341E-03        0.757191E-05        0.760786E-05        0.137907E+01        0.809304E-03        0.120146E-02        0.392486E-04        0.975155E-05        0.495258E-03        0.533083E-03        0.356016E+00        0.613183E+00        0.567012E-01        0.216032E-04        0.636000E+00        0.100000E+01        0.839871E-04        0.622109E+00        0.118707E-03        0.669680E-03        0.171986E-02        0.250493E-07        0.188762E-04        0.147008E-07        0.270871E-07        0.538953E-07        0.122341E-07        0.236005E-07        0.257576E-01        0.154386E-04        0.386086E-04        0.797048E-04        0.167296E-04        0.364129E-17        0.121766E+01        0.121765E+01        0.235958E-05        0.196313E-04       -0.154258E+01        0.147903E+00       -0.160855E+00        0.546000E+01
    199902        0.162562E-04        0.567865E-05        0.302249E-03        0.122140E-03        0.833058E-05        0.836790E-05        0.148723E+01        0.852238E-03        0.125548E-02        0.413844E-04        0.251232E-08        0.531134E-03        0.517818E-03        0.341037E+00        0.623165E+00       -0.289870E-01        0.260068E-04        0.636000E+00        0.100000E+01        0.274286E-03        0.625414E+00        0.134945E-03        0.729196E-03        0.198216E-02        0.252911E-07        0.260497E-04        0.389612E-07        0.765635E-07        0.752719E-07        0.346377E-07        0.243326E-07        0.347728E-01        0.386799E-04        0.103378E-03        0.105811E-03        0.433472E-04        0.188046E-17        0.120539E+01        0.120537E+01        0.287091E-05        0.210972E-04       -0.579286E+00        0.193643E+00       -0.183429E-01        0.546000E+01
    199903        0.123396E-04        0.486555E-05        0.243386E-03        0.888503E-04        0.697406E-05        0.700448E-05        0.157727E+01        0.719317E-03        0.105236E-02        0.234107E-04        0.161322E-04        0.444956E-03        0.416145E-03        0.289172E+00        0.624348E+00       -0.764271E-01        0.193108E-04        0.636164E+00        0.100000E+01        0.825548E-04        0.629957E+00        0.115215E-03        0.583734E-03        0.165472E-02        0.236575E-07        0.153617E-04        0.135465E-07        0.248481E-07        0.435397E-07        0.112219E-07        0.220591E-07        0.197977E-01        0.135050E-04        0.336138E-04        0.614257E-04        0.144453E-04       -0.283111E-17        0.119380E+01        0.119379E+01        0.353743E-05        0.173700E-04       -0.630968E+00        0.135613E+00       -0.161577E+00        0.546000E+01
    199904        0.979074E-05        0.462125E-05        0.185101E-03        0.653922E-04        0.597014E-05        0.599236E-05        0.171809E+01        0.108479E-02        0.152667E-02        0.148016E-04        0.652232E-04        0.606184E-03        0.583121E-03        0.296680E+00        0.606840E+00       -0.808983E-01        0.133402E-04        0.637271E+00        0.100000E+01        0.101400E-03        0.769635E+00        0.133425E-03        0.538789E-03        0.173521E-02        0.294951E-07        0.136951E-04        0.123285E-07        0.201913E-07        0.404993E-07        0.119388E-07        0.259681E-07        0.132479E-01        0.777277E-05        0.197337E-04        0.451874E-04        0.106882E-04       -0.471129E-19        0.119000E+01        0.119000E+01        0.199122E-04        0.232711E-04        0.285133E+01        0.107867E+00       -0.908727E+00        0.546000E+01
    199905        0.126071E-04        0.627065E-05        0.208778E-03        0.779622E-04        0.789797E-05        0.792116E-05        0.194852E+01        0.267436E-02        0.357645E-02        0.192045E-04        0.374157E-04        0.135391E-02        0.131353E-02        0.371926E+00        0.586450E+00       -0.818652E-01        0.425305E-05        0.637661E+00        0.100000E+01        0.128871E-03        0.147324E+01        0.247613E-03        0.827421E-03        0.311637E-02        0.483492E-07        0.204458E-04        0.152918E-07        0.225894E-07        0.604541E-07        0.151851E-07        0.433734E-07        0.154660E-01        0.992245E-05        0.200327E-04        0.522725E-04        0.117620E-04        0.137689E-17        0.119000E+01        0.119000E+01        0.607442E-04        0.500185E-04        0.102906E+02        0.112613E+00       -0.290937E+00        0.546000E+01
    199906        0.214814E-04        0.941204E-05        0.280328E-03        0.126722E-03        0.122092E-04        0.122351E-04        0.202747E+01        0.556807E-02        0.723229E-02        0.917829E-04        0.153080E-05        0.278925E-02        0.276048E-02        0.475807E+00        0.588406E+00       -0.590677E-01        0.299947E-05        0.636286E+00        0.100000E+01        0.129999E-02        0.496242E+01        0.470014E-03        0.140952E-02        0.609410E-02        0.659661E-07        0.551006E-04        0.173270E-06        0.552025E-07        0.229801E-06        0.179602E-06        0.640057E-07        0.351750E-01        0.105519E-03        0.374189E-04        0.153002E-03        0.921486E-04        0.207403E-17        0.120567E+01        0.120571E+01        0.134765E-03        0.101605E-03        0.155000E+02        0.249900E+00       -0.210190E-01        0.546000E+01
    199907        0.273392E-04        0.107155E-04        0.284792E-03        0.149653E-03        0.137937E-04        0.138259E-04        0.221437E+01        0.816777E-02        0.103314E-01        0.107260E-03        0.378995E-09        0.381303E-02        0.362468E-02        0.485730E+00        0.589415E+00       -0.817137E-01        0.415199E-06        0.636103E+00        0.100000E+01        0.122023E-02        0.772547E+01        0.628003E-03        0.168937E-02        0.809191E-02        0.785603E-07        0.689202E-04        0.199743E-06        0.110365E-06        0.269311E-06        0.205587E-06        0.772108E-07        0.383883E-01        0.103102E-03        0.600841E-04        0.153968E-03        0.873777E-04        0.449643E-17        0.123071E+01        0.123074E+01        0.160575E-03        0.129004E-03        0.193516E+02        0.250903E+00       -0.902774E-02        0.546000E+01
    199908        0.255582E-04        0.896093E-05        0.233333E-03        0.131946E-03        0.115791E-04        0.116038E-04        0.199934E+01        0.717321E-02        0.910934E-02        0.659670E-04        0.281107E-04        0.349370E-02        0.350206E-02        0.463687E+00        0.577472E+00       -0.489111E-01        0.115641E-07        0.636460E+00        0.100000E+01        0.110432E-03        0.577432E+01        0.506513E-03        0.134140E-02        0.654730E-02        0.685664E-07        0.386324E-04        0.356177E-07        0.649167E-07        0.110682E-06        0.298508E-07        0.667298E-07        0.215106E-01        0.194040E-04        0.382444E-04        0.653437E-04        0.164463E-04        0.449603E-17        0.125315E+01        0.125317E+01        0.139179E-03        0.108910E-03        0.185226E+02        0.138290E+00       -0.199881E+00        0.546000E+01
    199909        0.215403E-04        0.690288E-05        0.185332E-03        0.107897E-03        0.896559E-05        0.899043E-05        0.191906E+01        0.478516E-02        0.619578E-02        0.427863E-04        0.590058E-04        0.240830E-02        0.245889E-02        0.422956E+00        0.589321E+00       -0.421235E-01        0.100520E-05        0.637801E+00        0.100000E+01        0.693867E-04        0.295805E+01        0.338442E-03        0.921809E-03        0.437644E-02        0.510061E-07        0.223632E-04        0.147862E-07        0.262343E-07        0.631854E-07        0.119010E-07        0.470104E-07        0.135355E-01        0.938917E-05        0.191787E-04        0.435937E-04        0.816694E-05        0.455558E-17        0.127440E+01        0.127443E+01        0.922162E-04        0.766977E-04        0.149833E+02        0.118067E+00       -0.137190E+01        0.546000E+01
    199910        0.273609E-04        0.766141E-05        0.243754E-03        0.137577E-03        0.114505E-04        0.114868E-04        0.171757E+01        0.315220E-02        0.421531E-02        0.693384E-04        0.295848E-08        0.161938E-02        0.151097E-02        0.392277E+00        0.593738E+00       -0.809991E-01        0.682091E-06        0.636388E+00        0.100000E+01        0.506200E-03        0.844067E+00        0.321148E-03        0.104667E-02        0.479831E-02        0.375989E-07        0.308310E-04        0.582425E-07        0.101520E-06        0.978793E-07        0.549837E-07        0.361297E-07        0.226200E-01        0.413093E-04        0.802000E-04        0.777989E-04        0.388186E-04       -0.180316E-17        0.126661E+01        0.126659E+01        0.249122E-04        0.511306E-04        0.115703E+02        0.208065E+00       -0.162452E-01        0.546000E+01
    199911        0.122529E-04        0.353084E-05        0.118789E-03        0.638821E-04        0.515994E-05        0.517257E-05        0.157870E+01        0.103596E-02        0.144904E-02        0.302105E-04        0.889865E-04        0.608340E-03        0.642386E-03        0.233898E+00        0.595331E+00       -0.337461E-01        0.203241E-06        0.636574E+00        0.100000E+01        0.405933E-03        0.665606E+00        0.112145E-03        0.389821E-03        0.164706E-02        0.216385E-07        0.114852E-04        0.231710E-07        0.377147E-07        0.372144E-07        0.229099E-07        0.200632E-07        0.108988E-01        0.213289E-04        0.391135E-04        0.393213E-04        0.205785E-04       -0.472226E-17        0.125065E+01        0.125064E+01        0.824454E-05        0.185791E-04        0.468467E+01        0.146233E+00       -0.490064E+02        0.546000E+01
    199912        0.352784E-07        0.592761E-06        0.000000E+00        0.286039E-06        0.000000E+00        0.000000E+00        0.162066E+01        0.148790E-03        0.206975E-03        0.224000E-06        0.152925E-03        0.804797E-04        0.793238E-04        0.482346E-01        0.553405E+00       -0.844138E-01        0.268688E-06        0.639712E+00        0.100000E+01        0.000000E+00        0.635074E+00        0.156773E-04        0.000000E+00        0.000000E+00        0.161574E-07        0.678875E-06        0.000000E+00        0.000000E+00        0.112347E-08        0.000000E+00        0.121003E-07        0.601700E-03        0.000000E+00        0.000000E+00        0.139479E-05        0.000000E+00       -0.512775E-17        0.125000E+01        0.125000E+01        0.422673E-05        0.243810E-05        0.141548E+01        0.405161E-01       -0.105000E+03        0.546000E+01
    200001        0.114534E-04        0.146005E-05        0.129548E-03        0.664631E-04        0.403207E-05        0.405120E-05        0.105348E+01        0.597429E-03        0.899735E-03        0.306277E-04        0.179729E-04        0.328439E-03        0.464559E-03        0.294858E+00        0.549048E+00        0.260200E+00        0.100829E-04        0.638235E+00        0.100000E+01        0.308490E-03        0.621181E+00        0.313715E-04        0.288487E-03        0.864030E-03        0.114483E-07        0.637423E-05        0.971548E-08        0.180883E-07        0.192633E-07        0.859370E-08        0.894714E-08        0.790075E-02        0.874175E-05        0.291525E-04        0.304937E-04        0.123637E-04       -0.440413E-17        0.124828E+01        0.124827E+01        0.220635E-05        0.106737E-04       -0.268935E+01        0.167032E+00       -0.135872E+02        0.601000E+01
    200002        0.115515E-04        0.153770E-05        0.137618E-03        0.674733E-04        0.434207E-05        0.436302E-05        0.124466E+01        0.608273E-03        0.911603E-03        0.304631E-04        0.211632E-05        0.362440E-03        0.426368E-03        0.297609E+00        0.595727E+00        0.147739E+00        0.808862E-04        0.636424E+00        0.100000E+01        0.339834E-03        0.619313E+00        0.332813E-04        0.307615E-03        0.938275E-03        0.109138E-07        0.586240E-05        0.806721E-08        0.128269E-07        0.182655E-07        0.747984E-08        0.973020E-08        0.783109E-02        0.868976E-05        0.206073E-04        0.286961E-04        0.102833E-04        0.648014E-17        0.124000E+01        0.124000E+01        0.195469E-05        0.128010E-04       -0.275966E+01        0.168897E+00       -0.662293E-01        0.601000E+01
    200003        0.586499E-05        0.949336E-06        0.725175E-04        0.344388E-04        0.228894E-05        0.230113E-05        0.140123E+01        0.472423E-03        0.693221E-03        0.330688E-05        0.797347E-04        0.284797E-03        0.320625E-03        0.237844E+00        0.604781E+00        0.634472E-01        0.153652E-03        0.638263E+00        0.100000E+01        0.000000E+00        0.665640E+00        0.198549E-04        0.154720E-03        0.473146E-03        0.102369E-07        0.213401E-05        0.000000E+00        0.000000E+00        0.568491E-08        0.000000E+00        0.784003E-08        0.250395E-02        0.000000E+00        0.000000E+00        0.907027E-05        0.000000E+00       -0.274501E-17        0.123261E+01        0.123259E+01        0.825573E-05        0.103492E-04       -0.302968E+01        0.826774E-01       -0.113721E+02        0.601000E+01
    200004        0.454161E-05        0.981098E-06        0.534939E-04        0.255748E-04        0.189246E-05        0.190014E-05        0.159628E+01        0.906662E-03        0.127739E-02        0.319921E-06        0.126772E-03        0.503119E-03        0.570945E-03        0.276227E+00        0.580611E+00       -0.984072E-02        0.258478E-03        0.641662E+00        0.100000E+01        0.000000E+00        0.866748E+00        0.266137E-04        0.148179E-03        0.511637E-03        0.149129E-07        0.245925E-05        0.000000E+00        0.000000E+00        0.640019E-08        0.000000E+00        0.998174E-08        0.193225E-02        0.000000E+00        0.000000E+00        0.791313E-05        0.000000E+00        0.895128E-18        0.123747E+01        0.123749E+01        0.285995E-04        0.188650E-04        0.201767E+01        0.747667E-01       -0.381817E+01        0.601000E+01
    200005        0.612012E-05        0.127486E-05        0.623599E-04        0.317872E-04        0.259062E-05        0.259758E-05        0.187178E+01        0.221102E-02        0.299263E-02        0.208903E-04        0.865317E-04        0.115588E-02        0.123923E-02        0.368855E+00        0.574777E+00       -0.272440E-01        0.810663E-03        0.647902E+00        0.100000E+01        0.434503E-03        0.176891E+01        0.489651E-04        0.252393E-03        0.103130E-02        0.253214E-07        0.468508E-05        0.121237E-07        0.500000E-09        0.199383E-07        0.115924E-07        0.145760E-07        0.231582E-02        0.593754E-05        0.395297E-06        0.165767E-04        0.742570E-05        0.197821E-17        0.125250E+01        0.125253E+01        0.764497E-04        0.469085E-04        0.772548E+01        0.111935E+00       -0.224944E+02        0.601000E+01
    200006        0.178757E-04        0.304090E-05        0.162967E-03        0.867394E-04        0.754668E-05        0.756182E-05        0.229228E+01        0.582182E-02        0.751360E-02        0.931818E-04        0.190401E-09        0.263148E-02        0.248968E-02        0.462400E+00        0.578286E+00       -0.905810E-01        0.670760E-03        0.637200E+00        0.100000E+01        0.190263E-02        0.470523E+01        0.157376E-03        0.853340E-03        0.389603E-02        0.469883E-07        0.190963E-04        0.773011E-07        0.373885E-07        0.874344E-07        0.750838E-07        0.438564E-07        0.109199E-01        0.476782E-04        0.214832E-04        0.574771E-04        0.370462E-04        0.450959E-17        0.127506E+01        0.127510E+01        0.136173E-03        0.103879E-03        0.160900E+02        0.274900E+00       -0.692733E-02        0.601000E+01
    200007        0.214005E-04        0.349364E-05        0.171491E-03        0.966602E-04        0.857293E-05        0.858753E-05        0.227983E+01        0.823198E-02        0.103775E-01        0.103075E-03        0.195232E-08        0.349355E-02        0.328960E-02        0.457457E+00        0.547664E+00       -0.874482E-01        0.707858E-04        0.636009E+00        0.100000E+01        0.473035E-03        0.638092E+01        0.211097E-03        0.105919E-02        0.518036E-02        0.562573E-07        0.276302E-04        0.502288E-07        0.912327E-07        0.772792E-07        0.438348E-07        0.554602E-07        0.143975E-01        0.257421E-04        0.503798E-04        0.427465E-04        0.227443E-04       -0.150093E-17        0.129997E+01        0.130000E+01        0.153309E-03        0.119964E-03        0.200935E+02        0.208581E+00       -0.154381E-01        0.601000E+01
    200008        0.220735E-04        0.320817E-05        0.166323E-03        0.963337E-04        0.817093E-05        0.818517E-05        0.198011E+01        0.653983E-02        0.835918E-02        0.923753E-04        0.189621E-06        0.300244E-02        0.296159E-02        0.440759E+00        0.547589E+00       -0.574416E-01        0.680957E-05        0.636473E+00        0.100000E+01        0.415049E-03        0.394817E+01        0.178110E-03        0.946156E-03        0.453269E-02        0.454913E-07        0.208913E-04        0.353645E-07        0.644855E-07        0.579942E-07        0.306710E-07        0.443700E-07        0.116518E-01        0.203844E-04        0.390509E-04        0.350114E-04        0.177240E-04       -0.502396E-17        0.132290E+01        0.132293E+01        0.117807E-03        0.957351E-04        0.180677E+02        0.198355E+00       -0.243742E-01        0.601000E+01
    200009        0.780999E-05        0.138979E-05        0.568811E-04        0.335401E-04        0.272542E-05        0.273111E-05        0.201087E+01        0.363908E-02        0.466542E-02        0.114058E-04        0.122026E-03        0.162026E-02        0.158729E-02        0.291751E+00        0.512346E+00       -0.710203E-01        0.429731E-06        0.642767E+00        0.100000E+01        0.940000E-07        0.174658E+01        0.713922E-04        0.295546E-03        0.138201E-02        0.377106E-07        0.524715E-05        0.411036E-09        0.240181E-09        0.127060E-07        0.107486E-09        0.297374E-07        0.255483E-02        0.248236E-06        0.191000E-06        0.853431E-05        0.835693E-07       -0.266209E-17        0.133561E+01        0.133563E+01        0.672467E-04        0.488517E-04        0.158133E+02        0.828667E-01       -0.345506E+02        0.601000E+01
    200010        0.125450E-04        0.154245E-05        0.935739E-04        0.549137E-04        0.397993E-05        0.399193E-05        0.139896E+01        0.182935E-02        0.251708E-02        0.331484E-04        0.497626E-04        0.938446E-03        0.108297E-02        0.342871E+00        0.529485E+00        0.371241E-01        0.263305E-04        0.642339E+00        0.100000E+01        0.189910E-04        0.968765E+00        0.532461E-04        0.335180E-03        0.136717E-02        0.207517E-07        0.427415E-05        0.168791E-08        0.205781E-08        0.104952E-07        0.938860E-09        0.145773E-07        0.273685E-02        0.111467E-05        0.215875E-05        0.102352E-04        0.937442E-06        0.374447E-17        0.134280E+01        0.134280E+01        0.325718E-04        0.300379E-04        0.701194E+01        0.111323E+00       -0.637159E+01        0.601000E+01
